BCC,CLASSIFICATION,BUSINESS_TYPE,SIC
2083,CLASSB,COMPUTER SERVICES - OTHER,"7379-COMPUTER RELATED SERVICES, NEC"
2084,CLASSB,CONCRETE SERVICES,1771-CONCRETE WORK
2085,CLASSB,COMPUTER CONSULTING,"7379-COMPUTER RELATED SERVICES, NEC"
2086,CLASSB,CONSULTING - OTHER,"8999-SERVICES, NEC"
2087,CLASSB,CREDIT REPORTING,7323-CREDIT REPORTING SERVICES
2090,CLASSB,"CREDIT SERVICES, BUS/PERSONAL",7323-CREDIT REPORTING SERVICES
2093,CLASSB,CUSTOM TAILORING,5699-MISC. APPAREL & ACCESSORY STORES
2094,CLASSB,DATA PROCESSING,7374-DATA PROCESSING AND PREPARATION
2096,CLASSB,DAY NURSERY/CHILD CARE CENTER,8351-CHILD DAY CARE SERVICES
2097,CLASSB,DELIVERY SERVICE,"7319-ADVERTISING, NEC"
2099,CLASSB,DETECTIVE/PROTECTIVE SERVICES,"7299-MISCELLANEOUS PERSONAL SERVICES, NEC"
2102,CLASSB,DENTAL LABORATORY SERVICES,8072-DENTAL LABORATORIES
2103,CLASSB,DIAPER SERVICE,"7219-LAUNDRY AND GARMENT SERVICES, NEC"
2105,CLASSB,DISINFECTING & EXTERMINATING,7342-DISINFECTING & PEST CONTROL SERVICES
2108,CLASSB,DRY CLEANING/PRESSING/DYEING,7212-GARMENT PRESSING & CLEANERS' AGENTS
2111,CLASSB,EMPLOYMENT AGENCY/TEMP HELP SV,7361-EMPLOYMENT AGENCIES
2114,CLASSB,EQUIP/SUPPLY PROFESS - RENTALS,"7359-EQUIPMENT RENTAL & LEASING, NEC"
2117,CLASSB,EQUIP RENTAL & LEASING,"7359-EQUIPMENT RENTAL & LEASING, NEC"
2118,CLASSB,FINANCIAL/INVEST. CONSULTING,6282-INVESTMENT ADVICE
2120,CLASSB,FUNERAL PARLOR - MORTUARY,7261-FUNERAL SERVICE AND CREMATORIES
2122,CLASSB,GRAPHIC DESIGN,7336-COMMERCIAL ART AND GRAPHIC DESIGN
2123,CLASSB,GUNSMITHS,"7699-REPAIR SERVICES, NEC"
2126,CLASSB,GYMS/ATHLETIC CLUBS/BODY BLDG,7991-PHYSICAL FITNESS FACILITIES
2127,CLASSB,HAULING SERVICE,"4212-LOCAL TRUCKING, WITHOUT STORAGE"
2129,CLASSB,HEALTH SERVICES,"8099-HEALTH AND ALLIED SERVICES, NEC"
2132,CLASSB,HOME REPAIR/REMODEL/SERVICE,"7699-REPAIR SERVICES, NEC"
2135,CLASSB,HORTICULTURAL SERVICES,0781-LANDSCAPE COUNSELING AND PLANNING
2138,CLASSB,HOSPITALS/MEDICAL CLINICS,6324-HOSPITAL AND MEDICAL SERVICE PLANS
2141,CLASSB,INS AGENTS/SERVICES,"6411-INSURANCE AGENTS, BROKERS, & SERVICE"
2144,CLASSB,INSURANCE CARRIERS,"6399-INSURANCE CARRIERS, NEC"
2147,CLASSB,INTERIOR DECORATORS,"7389-BUSINESS SERVICES, NEC"
2150,CLASSB,JANITORIAL SERVICES/MAINTENANC,"7349-BUILDING MAINTENANCE SERVICES, NEC"
2153,CLASSB,LANDSCAPE GARDENING,0781-LANDSCAPE COUNSELING AND PLANNING
2156,CLASSB,"LAUNDRIES, DYEING & CLEANING","7219-LAUNDRY AND GARMENT SERVICES, NEC"
2159,CLASSB,LAUNDROMAT,7215-COIN-OPERATED LAUNDRIES AND CLEANING
2162,CLASSB,"LAUNDRY SERVICES, INDUSTRIAL","7211-POWER LAUNDRIES, FAMILY & COMMERCIAL"
2165,CLASSB,LEGAL SERVICES/REFERRAL/MISC,8111-LEGAL SERVICES
2168,CLASSB,LOCKSMITHS - REPAIR/SERVICE,"7699-REPAIR SERVICES, NEC"
2171,CLASSB,"MACHINE SHOPS, REPAIR","3599-INDUSTRIAL MACHINERY, NEC"
2174,CLASSB,MARRIAGE & FAMILY SERVICES,8322-INDIVIDUAL AND FAMILY SERVICES
2177,CLASSB,MASSAGE/STEAM/SAUNA BATHS,"7299-MISCELLANEOUS PERSONAL SERVICES, NEC"
2180,CLASSB,MISC BUSINESS SERVICES,"7389-BUSINESS SERVICES, NEC"
2183,CLASSB,MISC PERSONAL SERVICES,"7299-MISCELLANEOUS PERSONAL SERVICES, NEC"
2186,CLASSB,MOBILE HOME PARKS,9999-NONCLASSIFIABLE ESTABLISHMENTS
2192,CLASSB,MOVING/HOUSEHOLD GOODS,"8999-SERVICES, NEC"
2193,CLASSB,MUSICIANS,7929-ENTERTAINERS & ENTERTAINMENT GROUPS
2195,CLASSB,OCEANOGRAPHIC RESEARCH,8732-COMMERCIAL NONPHYSICAL RESEARCH
2198,CLASSB,"PARKING LOTS/GARAGE,COMMERCIAL",7521-AUTOMOBILE PARKING
2201,CLASSB,PET GROOMING/TRAINING/SERVICE,"7299-MISCELLANEOUS PERSONAL SERVICES, NEC"
2204,CLASSB,PHOTOFINISHING SERVICES,7384-PHOTOFINISHING LABORATORIES
2207,CLASSB,PHOTOGRAPHY COMM/PORTRAIT,"7221-PHOTOGRAPHIC STUDIOS, PORTRAIT"
2210,CLASSB,PICKUP & DELIVERY SERVICE,7212-GARMENT PRESSING & CLEANERS' AGENTS
2213,CLASSB,"PRINTING, COMMERCIAL","2752-COMMERCIAL PRINTING, LITHOGRAPHIC"
2216,CLASSB,PROMOTION & PRODUCTION SERVICE,"7941-SPORTS CLUBS, MANAGERS, & PROMOTERS"
2217,CLASSB,PUBLISHING,"7313-RADIO, TV, PUBLISHER REPRESENTATIVES"
2219,CLASSB,RADIO/TV/STEREO SERVICE/REPAIR,7622-RADIO AND TELEVISION REPAIR
2222,CLASSB,REAL ESTATE AGENTS,6531-REAL ESTATE AGENTS AND MANAGERS
2225,CLASSB,"REAL ESTATE SERVICES, OTHER",6531-REAL ESTATE AGENTS AND MANAGERS
2228,CLASSB,REAL ESTATE OPERATIVE BUILDERS,"6552-SUBDIVIDERS AND DEVELOPERS, NEC"
2231,CLASSB,"REPAIR SERVICES, OTHER","7699-REPAIR SERVICES, NEC"
2234,CLASSB,"RESEARCH SERVICES, OTHER",8732-COMMERCIAL NONPHYSICAL RESEARCH
2236,CLASSB,RESIDENTIAL HOTEL,7011-HOTELS AND MOTELS
2237,CLASSB,RESIDENTIAL HOTEL /PK-EXISTING,6513-APARTMENT BUILDING OPERATORS
2238,CLASSB,RESIDENTIAL HOTEL/PK-NEW-LOW I,6513-APARTMENT BUILDING OPERATORS
2239,CLASSB,RESIDENTIAL HOTEL/PK-NEW-MKT R,6513-APARTMENT BUILDING OPERATORS
2240,CLASSB,REST HOME/CONVALESCENT HOSP,8051-SKILLED NURSING CARE FACILITIES
2243,CLASSB,RETIREMENT HOMES,6513-APARTMENT BUILDING OPERATORS
2246,CLASSB,ROOMING & BOARDING HOUSES,7021-ROOMING AND BOARDING HOUSES
2249,CLASSB,RUG/CARPET CLEANING/REPAIR,7217-CARPET AND UPHOLSTERY CLEANING
2252,CLASSB,SAVINGS & LOAN ASSOCIATION,6035-FEDERAL SAVINGS INSTITUTIONS
2255,CLASSB,"SCHOOLS, ART/DRAMA/MUSIC","8299-SCHOOLS & EDUCATIONAL SERVICES, NEC"
2256,CLASSB,"SCHOOLS, ART/DRAMA/MUSIC-CHILD","8299-SCHOOLS & EDUCATIONAL SERVICES, NEC"
2258,CLASSB,"SCHOOLS, BARBER/BEAUTY","8249-VOCATIONAL SCHOOLS, NEC"
2261,CLASSB,"SCHOOLS, BUSINESS/STENOGRAPHIC",8244-BUSINESS AND SECRETARIAL SCHOOLS
2264,CLASSB,"SCHOOLS, DANCING","7911-DANCE STUDIOS, SCHOOLS, AND HALLS"
2267,CLASSB,"SCHOOLS, DRIVING","8249-VOCATIONAL SCHOOLS, NEC"
2269,CLASSB,"SCHOOLS, PRIVATE HIGH SCHOOL","8249-VOCATIONAL SCHOOLS, NEC"
2270,CLASSB,"SCHOOLS, SPECIAL TRAINING","8249-VOCATIONAL SCHOOLS, NEC"
2273,CLASSB,"SCHOOLS, VOCATIONAL OR TRADE","8249-VOCATIONAL SCHOOLS, NEC"
2274,CLASSB,SEAMSTRESS/TAILOR,"7219-LAUNDRY AND GARMENT SERVICES, NEC"
2276,CLASSB,SECRETARIAL SERVICES,7336-COMMERCIAL ART AND GRAPHIC DESIGN
2282,CLASSB,SEWER/CESSPOOL MAINTENANCE,"8999-SERVICES, NEC"
2285,CLASSB,SHOE REPAIRING & DYEING,"8999-SERVICES, NEC"
2288,CLASSB,SIGN PAINTER/MAKER,"5099-DURABLE GOODS, NEC"
2290,CLASSB,SPA/POOL REPAIR,"7699-REPAIR SERVICES, NEC"
2291,CLASSB,STENOGRAPHY SVC/COURT REPORTER,7338-SECRETARIAL & COURT REPORTING
2294,CLASSB,STORAGE SERVICES,4225-GENERAL WAREHOUSING AND STORAGE
2295,CLASSB,STORAGE/SERVICE AREA/WAREHOUSE,"4226-SPECIAL WAREHOUSING AND STORAGE, NEC"
2296,CLASSB,TAX PREPARATION/SERVICES,7291-TAX RETURN PREPARATION SERVICES
2297,CLASSB,TELEGRAPH TRANSMIT/RECEIVE,4822-TELEGRAPH & OTHER COMMUNICATIONS
2300,CLASSB,TELEPHONE ANSWERING SERVICE,"4899-COMMUNICATION SERVICES, NEC"
2303,CLASSB,TELEPHONE COMPANY OFFICES,"5999-MISCELLANEOUS RETAIL STORES, NEC"
2304,CLASSB,TELEPHONE EQUIPMENT REPAIR,"7699-REPAIR SERVICES, NEC"
2306,CLASSB,"TELEVISION COMM, OTHER",7812-MOTION PICTURE & VIDEO PRODUCTION
2309,CLASSB,TITLE & ESCROW SERVICES,6541-TITLE ABSTRACT OFFICES
2310,CLASSB,TRANSLATING/INTERPRETING,"7299-MISCELLANEOUS PERSONAL SERVICES, NEC"
2312,CLASSB,"TRANSPORTATION SERVICES, OTHER","4789-TRANSPORTATION SERVICES, NEC"
2315,CLASSB,TRAVEL AGENT,4724-TRAVEL AGENCIES
2318,CLASSB,TREE PRUNING/SPRAYING/SURGERY,"8999-SERVICES, NEC"
2321,CLASSB,UPHOLSTERY/FURNITURE REPAIR,7641-REUPHOLSTERY AND FURNITURE REPAIR
2323,CLASSB,VIDEO TAPE/EQUIP-RENTAL/REPAIR,7841-VIDEO TAPE RENTAL
2324,CLASSB,"WATCH, CLOCK, JEWELRY REPAIR","7631-WATCH, CLOCK, AND JEWELRY REPAIR"
2325,CLASSB,VIDEO TAPING,7812-MOTION PICTURE & VIDEO PRODUCTION
2327,CLASSB,WELDING SERVICES,7692-WELDING REPAIR
2330,CLASSB,WINDOW CLEANING,"7349-BUILDING MAINTENANCE SERVICES, NEC"
2331,CLASSB,WORD PROCESSING,7338-SECRETARIAL & COURT REPORTING
2332,CLASSB,WRITER/AUTHOR,"8999-SERVICES, NEC"
2333,CLASSB,"X-RAY SERVICES, TECHNICIANS","8093-SPECIALTY OUTPATIENT CLINICS, NEC"
2425,CLASSB,HOTELS,7011-HOTELS AND MOTELS
2450,CLASSB,MOTELS & MOTOR HOTELS,7011-HOTELS AND MOTELS
2513,CLASSB,MULTIPLE DWELLING THREE UNITS,"6514-DWELLING OPERATORS, EXC. APARTMENTS"
2514,CLASSB,MULTIPLE DWELLING FOUR UNITS,"6514-DWELLING OPERATORS, EXC. APARTMENTS"
2515,CLASSB,MULTIPLE DWELLING 5-9 UNITS,6513-APARTMENT BUILDING OPERATORS
2519,CLASSB,MULTIPLE DWELLING OVER 9 UNITS,6513-APARTMENT BUILDING OPERATORS
2626,CLASSB,COMM/IND SPACE RENTAL/LEASING,6512-NONRESIDENTIAL BUILDING OPERATORS
2710,CLASSB,AMUSEMENT & RELATED BUSINESS,7996-AMUSEMENT PARKS
2720,CLASSB,BILLIARD & POOL HALLS,"7999-AMUSEMENT AND RECREATION, NEC"
2730,CLASSB,BOWLING ALLEYS,7933-BOWLING CENTERS
2740,CLASSB,COIN OPER AMUSEMENT BUSINESS,7993-COIN-OPERATED AMUSEMENT DEVICES
2750,CLASSB,RADIO/TV BROADCASTING/OFFICES,4832-RADIO BROADCASTING STATIONS
2760,CLASSB,ROLLER SKATING,"7999-AMUSEMENT AND RECREATION, NEC"
2770,CLASSB,THEATERS,7833-DRIVE-IN MOTION PICTURE THEATERS
3010,CLASSC,"ACCOUNTANTS, OFFICES/SERVICES","7389-BUSINESS SERVICES, NEC"
3015,CLASSC,ACUPUNCTURE OFFICES/SERVICES,"8049-OFFICES OF HEALTH PRACTITIONERS, NEC"
3020,CLASSC,ARCHITECT SERVICES/BLDG DESIGN,8712-ARCHITECTURAL SERVICES
3030,CLASSC,ARCHITECT SERVICES/LANDSCAPE,7300-BUSINESS SERVICES
3040,CLASSC,"ASSAYER, OFFICES/SERVICES",8734-TESTING LABORATORIES
3050,CLASSC,"ATTORNEYS, OFFICES/SERVICES",8111-LEGAL SERVICES
3060,CLASSC,AUCTIONEER,"7389-BUSINESS SERVICES, NEC"
3070,CLASSC,CHEMIST/PHARMACIST,8071-MEDICAL LABORATORIES
3080,CLASSC,"CHIROPRACTOR, OFFICES/SERVICES",8041-OFFICES AND CLINICS OF CHIROPRACTORS
3081,CLASSC,"CHIROPRACTOR, SOLE PR <1200 SF",8041-OFFICES AND CLINICS OF CHIROPRACTORS
3090,CLASSC,"DENTISTS, OFFICES/SERVICES",8021-OFFICES AND CLINICS OF DENTISTS
3091,CLASSC,"DENTISTS, SOLE PROPR  <1200 SF",8021-OFFICES AND CLINICS OF DENTISTS
3100,CLASSC,"ENGINEERS, OFFICES/SERVICES",8711-ENGINEERING SERVICES
3105,CLASSC,ENVIRONMENTAL DESIGNER,"9511-AIR, WATER, & SOLID WASTE MANAGEMENT"
3110,CLASSC,"INS BROKERS, OFFICES/SERVICES","6411-INSURANCE AGENTS, BROKERS, & SERVICE"
3120,CLASSC,MARRIAGE & FAMILY COUNSELOR,8322-INDIVIDUAL AND FAMILY SERVICES
3130,CLASSC,MEDICAL/HEALTH PROFESSIONS,8621-PROFESSIONAL ORGANIZATIONS
3131,CLASSC,"MEDICAL/HEALTH, SOLE  <1200 SF",8621-PROFESSIONAL ORGANIZATIONS
3135,CLASSC,METAPHYSICAL SCIENCES,"7999-AMUSEMENT AND RECREATION, NEC"
3137,CLASSC,PHYSICAL THERAPIST,"8049-OFFICES OF HEALTH PRACTITIONERS, NEC"
3138,CLASSC,"PHYSICAL THERAP, SOLE <1200 SF","8049-OFFICES OF HEALTH PRACTITIONERS, NEC"
3140,CLASSC,"PHYSICIANS, OFFICES/SERVICES","8099-HEALTH AND ALLIED SERVICES, NEC"
3141,CLASSC,"PHYSICIANS, SOLE PROP <1200 SF","8099-HEALTH AND ALLIED SERVICES, NEC"
3150,CLASSC,PROFESSIONAL & RELATED OCCU,"7299-MISCELLANEOUS PERSONAL SERVICES, NEC"
3155,CLASSC,"PSYCHOLOGIST, OFFICES/SERVICES","8049-OFFICES OF HEALTH PRACTITIONERS, NEC"
3160,CLASSC,"REAL ESTATE BROKER, OFC/SER",6531-REAL ESTATE AGENTS AND MANAGERS
3170,CLASSC,"SECURITY BROKERS, OFC/SERVICES",6211-SECURITY BROKERS AND DEALERS
3180,CLASSC,"VETERINARIANS, OFFICES/SERVICE","0742-VETERINARY SERVICES, SPECIALTIES"
3181,CLASSC,"VETERINARIANS, SOLE  <1200 SF","0742-VETERINARY SERVICES, SPECIALTIES"
4020,ARCADE,ARCADE - AMUSEMENT DEVICES,7933-BOWLING CENTERS
4030,ARTSCRAFTS,ARTS & CRAFTS ASSOCIATIONS,"8699-MEMBERSHIP ORGANIZATIONS, NEC"
4040,CARDROOM,CARD ROOMS,"7999-AMUSEMENT AND RECREATION, NEC"
4050,COINOP,COIN-OPERATED AMUSEMENT DEVICE,7993-COIN-OPERATED AMUSEMENT DEVICES
4060,DANCE,"DANCEHALLS, BALLROOMS","7911-DANCE STUDIOS, SCHOOLS, AND HALLS"
4070,VENDOR,ITINERANT VENDOR/TEMP BUSINESS,9999-NONCLASSIFIABLE ESTABLISHMENTS
4080,THEATER,MOTION PICTURE THEATERS,"7832-MOTION PICTURE THEATERS, EX DRIVE-IN"
4090,NONPROFIT,NON PROFIT ORGANIZATIONS,"8699-MEMBERSHIP ORGANIZATIONS, NEC"
4095,NONPROFIT,NON PROFIT MED/HEALTH CLINIC,"8699-MEMBERSHIP ORGANIZATIONS, NEC"
4096,NONPROFIT,NON PROFIT RES HOTEL/PK-NEW LI,7041-MEMBERSHIP-BASIS ORGANIZATION HOTELS
4098,NONPROFIT,"NON PROFIT SCHOOL/DANCE, ETC.","8299-SCHOOLS & EDUCATIONAL SERVICES, NEC"
4100,TAXI,TAXICAB TRANSPORTATION,4121-TAXICABS
4110,PHONESOLICIT,TELEMARKETING/TEL SOLICITATION,"7389-BUSINESS SERVICES, NEC"
4120,VEHICLE4HIRE,VEHICLES FOR HIRE,"4119-LOCAL PASSENGER TRANSPORTATION, NEC"
4130,TRAVELSHOW,TRAVELING SHOW,"7999-AMUSEMENT AND RECREATION, NEC"
4140,CIRCUS,"CIRCUS, CARNIVAL OR MENAGERIE","7999-AMUSEMENT AND RECREATION, NEC"
4150,BOXING,BOXING OR WRESTLING/PER SHOW,"7999-AMUSEMENT AND RECREATION, NEC"
4151,BOXANNUAL,BOXING OR WRESTLING/ANNUAL,"7999-AMUSEMENT AND RECREATION, NEC"
5010,NOLICREQ,ALCOHOL DISTRIB - NO LIC REQ,5182-WINE AND DISTILLED BEVERAGES
5020,NOLICREQ,BAIL BONDS - NO LIC REQ,"7389-BUSINESS SERVICES, NEC"
5030,NOLICREQ,BANKING - NO LIC REQ,6099-FUNCTIONS RELATED TO DEPOSIT BANKING
5040,NOLICREQ,INS AGENCY - NO LIC REQ,"6411-INSURANCE AGENTS, BROKERS, & SERVICE"
5050,NOLICREQ,INTERSTATE CARRIER/NO LIC REQ,"4789-TRANSPORTATION SERVICES, NEC"
5060,NOLICREQ,MISC - NO LIC REQ,9999-NONCLASSIFIABLE ESTABLISHMENTS
5070,NOLICREQ,PUBLIC AGENCY/BLDG-NO LIC REQ,"9199-GENERAL GOVERNMENT, NEC"
6000,SPECIAL,PARKING TAX,9999-NONCLASSIFIABLE ESTABLISHMENTS
7000,SPECIAL,TRANSIENT OCCUPANCY TAX,9999-NONCLASSIFIABLE ESTABLISHMENTS
4091,NONPROFIT,NON PROFIT SCHOOL,"8699-MEMBERSHIP ORGANIZATIONS, NEC"
3161,CLASSC,REAL ESTATE APPRAISER,6531-REAL ESTATE AGENTS AND MANAGERS
4160,TOWING,AUTO TOWING,"7549-AUTOMOTIVE SERVICES, NEC"
4161,TOWEXEMPT,AUTO TOWING - EXEMPT,"7549-AUTOMOTIVE SERVICES, NEC"