zoning district,zoning clearance,administrative,special,prohibited,unknown,
R-S,"800A, 800B",,,,,
R-1,,,,,,
R-L,"830, 840",,,,,
R-M,"830, 840g",,,,,
R-H,"830, 840, 510A","800, 810, 300C, 850E, 410B, 930, 710, 500, 510, 530, 540s ","300, 850, 410, 930, 710, 500, 510, 530, 540, 570",,,
R-T(A) ,"810, 510",810,830,"300, 850, 510, 850, 840, 710, 500, 510, 530, 540, 570, 850b",,
R-T(B),,"830, 800, 810","280, 850, 510, 300, 840, 940, 950, 710, 500, 510, 530, 540, 570, 850b",,,
R-T(B)/PER,,,,,,
R-T(C) ,"240, 300, 820, 930, 280","610, 250, 500, 570, 240B, 710, 700, 280, 510, 230, 530, 270, 240B, 830, 600, 400, 340, 860, 290 360B, 720,","280C, 550, 280H, 400, 840, 560E, 400L, 330, 200F, 830, 630, 930, 800, 860, 720, 620, 540, 400, 810, 310, 820, 510, 420, 410",,,
R-T(C)/PER,"125, 230, 250, 290, 281, 000","600, 610, 300, 930, 620, 630",,,,
R-T(D),"800, 810, 510A",,"850, 510, 830, 840, 710, 500, 510, 530, 540, 570, 850b",,,
R-T(E),,,,,,
C-C,"610, 250, 260C, 280A, 280B, 280D, 280E, 280F, 280G, 420, 320, 240A, 240C, 240D, 240E, 240F, 240G, 240H, 230, 270, 410B, 410C, 410D, 410E, 410F, 410G, 830, 600, 930, 400, 310A, 310B, 310C, 310D, 310F, 310G, 310H, 310J, 310K, 310L, 340A, 340B, 340C, 340E, 340F, 510A, 290A, 290B, 290C, 290D, 290E, 290F, 290G, 290H, 290I, 290J, 290K, 290L, 290N, 290O, 290P, 290Q, 290R, 290S, 290T, 290U, 290V, 290W, 290X, 290Y, 290Z, 620, 650","350, 280C, 340D, 220, 500, 550, 570, 710, 510, 280H, 530, 300, 260, 830, 930, 860, 290M, 700, 540, 410A","310E, 150, 155A, 100, 120, 520, 560B, 105, 840, 310I, 155, 630, 360, 860, 155C, 720, 140, 330, 200A, 200B, 200C, 200D, 210, 210E, 210F",,,
C-T,,,,,,
C-N,"280, 420, 320, 240, 220A, 410, 830, 930, 400, 310","610, 250, 260C, 500, 570, 510, 230, 530, 270, 830, 700, 510A, 340, 290, 410A, 650","350, 280H, 840, 930, 720, 330",,,
C-B,"610, 250, 280, 420, 240, 230, 300, 560E, 830, 600, 930, 310, 400 290, 720, 620, 650","240B, 500, 510, 320, 200F, 530, 270B, 700, 340, 290","280H, 850, 840, 840, 630, 930 ",,,
P-A,"420, 320, 930, 400, 310, 410, 600, 810x","500, 550, 570, 820, 510, 530, 870, 830, 930, 810, 410A ","520, 310I, 830, 410B",,,
I-G,"610, 220, 420, 100, 120L, 410, 105P, 400, 310, 360, 340S, 210, 330, 200 ","350, 340D, 500, 550, 570, 280, 510, 150, 240, 010, 530, 110, 930, 155, 140, 700, 560, 540","220, 130L, 850, 830, 840, 630, 125, 720, 145, 135M",,,
I-G PER ,"610, 220, 420, 100, 120, 410, 105P, 400, 310, 360, 340S, S210, 300, 200 ","350, 340D, 500, 550, 570, 280, 510, 150, 240, 010, 530, 110, 930, 155, 140, 700, 560, 540","220, 130, 850, 830, 840, 630, 125, 720, 145, 135M",,,
I-G PER-2,"610, 510F, 220, 550, 420, 150, 100, 120, 410, 105, 155, 145, 135P, 400, 310, 360, 340S, 140, 330T, 210, 200","350, 280, 010, 110, 930, 540s","220, 130, 240, 530, 850, 830, 840, 125, 720M, 560",,,