Industry,Subtype,Code,Industry + Subtype,"Recheck (FALSE means its passed the recheck, TRUE means, find a new code, TRUE - FIXED means its done and see Column H for the new code, NULL for a residential / non industrious use",SIC Industry Name,SIC Code,"Alternate or better code sourced from http://www.osha.gov Notice that numbers that end in 0 typically are  Group, while those that end in ""1"" are the definition we are looking for",Source Citation ,,
Agriculture and Forestry,Agriculture / Grazing Services,0,Agriculture and Forestry: Agriculture / Grazing Services,FALSE,Agricultural Services,700,,,,
Agriculture and Forestry,"Forestry Services, other",10,"Agriculture and Forestry: Forestry Services, other",FALSE,Forestry Services,850,,,,
"Industry, Manufacturing and Production","Food and Beverage Preparation, Production",100,"Industry, Manufacturing and Production: Food and Beverage Preparation, Production",TRUE - FIXED ,Food And Kindred Products,2000,2090,This is a group code,,
"Industry, Manufacturing and Production","Millwork Textile Products (knit goods, dying, woven fabric)",105,"Industry, Manufacturing and Production: Millwork Textile Products (knit good, dying, woven fabric)",FALSE,Textile Mill Products,2200,,,,
"Industry, Manufacturing and Production","Clothing, Leather Tanning",110,"Industry, Manufacturing and Production: Clothing, Leather Tanning",FALSE,Leather Tanning And Finishing,3110,,,,
"Industry, Manufacturing and Production","Wood products, Lumber and Fuelwood",115,"Industry, Manufacturing and Production: Wood products, Lumber and Fuelwood",FALSE,"Lumber And Wood Products, Except Furniture",2400,,,,
"Industry, Manufacturing and Production",Furniture and Fixtures,120,"Industry, Manufacturing and Production: Furniture and Fixtures",TRUE - FIXED ,Furniture And Fixtures,2500,2599,http://www.osha.gov/pls/imis/sic_manual.display?id=567&tab=description,,
"Industry, Manufacturing and Production",Paper and Allied Products,125,"Industry, Manufacturing and Production: Paper and Allied Products",TRUE - FIXED ,Paper And Paper Products,5110,5111,,,
"Industry, Manufacturing and Production",Chemicals and Allied Products,130,"Industry, Manufacturing and Production: Chemicals and Allied Products",FALSE,Chemicals And Allied Products,2800,2899,http://www.osha.gov/pls/imis/sic_manual.display?id=626&tab=description,,
"Industry, Manufacturing and Production","Rubber, Plastic, Misc. Materials and Products",135,"Industry, Manufacturing and Production: Rubber, Plastic, Misc. Materials and Products",TRUE - FIXED ,Rubber And Miscellaneous Plastics Products,3000,2821,http://www.osha.gov/pls/imis/sic_manual.display?id=603&tab=description,,
"Industry, Manufacturing and Production","Stone, Clay, Glass Products",140,"Industry, Manufacturing and Production: Stone, Clay, Glass Products",TRUE - FIXED ,"Stone, Clay, Glass, And Concrete Products",3200,3272,http://www.osha.gov/pls/imis/sic_manual.display?id=672&tab=description,,
"Industry, Manufacturing and Production",Primary Metals and Materials Industry,145,"Industry, Manufacturing and Production: Primary Metals and Materials Industry",TRUE - FIXED ,Primary Metal Industries,3300,3399,http://www.osha.gov/pls/imis/sic_manual.display?id=713&tab=description,,
"Industry, Manufacturing and Production",Fabricated Medal Products,150,"Industry, Manufacturing and Production: Fabricated Medal Products",TRUE - FIXED ,Fabricated Structural Metal Products,3440,3441,,,
"Industry, Manufacturing and Production",Electronic Equipment and Manufacturing,150A,"Industry, Manufacturing and Production: Electronic Equipment and Manufacturing",FALSE,"Electronic And Other Electrical Equipment And Components, Except Computer",3600,3699,http://www.osha.gov/pls/imis/sic_manual.display?id=839&tab=description,,
"Industry, Manufacturing and Production",Transportation building and equipment,150B,"Industry, Manufacturing and Production: Transportation building and equipment",FALSE,"Transportation Equipment, Not Elsewhere Classified",3799,,,,
"Industry, Manufacturing and Production",Misc. Fabricated Metal Products,150C,"Industry, Manufacturing and Production: Misc. Fabricated Metal Products",FALSE,Miscellaneous Fabricated Metal Products,3490,,,,
"Industry, Manufacturing and Production",Other Manufacturing and Processing Undistries,155,"Industry, Manufacturing and Production: Other Manufacturing and Processing Indistries",TRUE - FIXED ,"Manufacturing Industries, Not Elsewhere Classified",3999,3990,,,
"Industry, Manufacturing and Production",Fabricated Wire Products,155A,"Industry, Manufacturing and Production: Fabricated Wire Products",TRUE - FIXED ,Miscellaneous Fabricated Wire Products,3496,3357,http://www.osha.gov/pls/imis/sic_manual.display?id=706&tab=description,,
"Industry, Manufacturing and Production",Industrial Machining / Equipment,155B,"Industry, Manufacturing and Production: Industrial Machining / Equipment",FALSE,General Industrial Machinery And Equipment,3560,,,,
"Industry, Manufacturing and Production",Solar Equipment / Related,155C,"Industry, Manufacturing and Production: Solar Equipment / Related",FALSE,Semiconductors and Related Devices,3674,,,,
"Industry, Manufacturing and Production",Software,155,"Industry, Manufacturing and Production: Software",FALSE,Prepackaged Software,7372,,,,
"Industry, Manufacturing and Production",Motion Picture Production,155E,"Industry, Manufacturing and Production: Motion Picture Production",TRUE - FIXED ,Motion Picture Production And Allied Services,7810,7812,http://www.osha.gov/pls/imis/sic_manual.display?id=171&tab=description,,
"Industry, Manufacturing and Production","Petroleum, bulk",155,"Industry, Manufacturing and Production: Petroleum, bulk",TRUE - FIXED ,Petroleum And Petroleum Products,5170,5172,http://www.osha.gov/pls/imis/sic_manual.display?id=6&tab=description,,
"Industry, Manufacturing and Production",Prefabricated Wood Buildings,155G,"Industry, Manufacturing and Production: Prefabricated Wood Buildings",FALSE,Prefabricated Wood Buildings And Components,2452,,,,
"Industry, Manufacturing and Production",Pressed and Molded Goods,155H,"Industry, Manufacturing and Production: Pressed and Molded Goods",TRUE - FIXED ,Miscellaneous Primary Metal Products,3390,3399,http://www.osha.gov/pls/imis/sic_manual.display?id=713&tab=description,,
"Industry, Manufacturing and Production",Scraps and Waste Materials,155I,"Industry, Manufacturing and Production: Scraps and Waste Materials",FALSE,Scrap And Waste Materials,5093,,,,
"Industry, Manufacturing and Production",Mic. Manufacturing and Processing,155J,"Industry, Manufacturing and Production: Misc. Manufacturing and Processing",TRUE - FIXED ,Miscellaneous Manufacturing Industries,3900,3999,http://www.osha.gov/pls/imis/sic_manual.display?id=1012&tab=description,,
Trade (Wholesale and Retail),Wholesale (Non Durable Goods),200,Trade (Wholesale and Retail): Wholesale (Non Durable Goods),TRUE - FIXED ,Wholesale Trade-Nondurable Goods,5100,Major Group 51,http://www.osha.gov/pls/imis/sic_manual.display?id=44&tab=group,,
Trade (Wholesale and Retail),Bakery,200A,Trade (Wholesale and Retail): Bakery,TRUE - FIXED ,Bakery Products,2050,2051,http://www.osha.gov/pls/imis/sic_manual.display?id=452&tab=description,,
Trade (Wholesale and Retail),Confectionary and Related,200B,Trade (Wholesale and Retail): Confectionary and Related,TRUE - FIXED ,"Candy, Nut, And Confectionery Stores",5440,5441,http://www.osha.gov/pls/imis/sic_manual.display?id=22&tab=description,,
Trade (Wholesale and Retail),Dairy Products,200C,Trade (Wholesale and Retail): Dairy Products,TRUE - FIXED ,Dairy Products,2020,5143,http://www.osha.gov/pls/imis/sic_manual.display?id=296&tab=description,,
Trade (Wholesale and Retail),Chemicals and Related,200,Trade (Wholesale and Retail): Chemicals and Related,TRUE - FIXED ,Chemicals And Allied Products,2800,5169,http://www.osha.gov/pls/imis/sic_manual.display?id=4&tab=description,,
Trade (Wholesale and Retail),Drugs / Sundries and related,200E,Trade (Wholesale and Retail): Drugs / Sundries and related,TRUE - FIXED ,"Drugs, Drug Proprietaries, And Druggists' Sundries",5120,5122,http://www.osha.gov/pls/imis/sic_manual.display?id=694&tab=description,,
Trade (Wholesale and Retail),Fish/Seafood,200,Trade (Wholesale and Retail): Fish/Seafood,FALSE,Fish And Seafoods,5146,,,,
Trade (Wholesale and Retail),Frozen Foods,200G,Trade (Wholesale and Retail): Frozen Foods,FALSE,Packaged Frozen Foods,5142,,,,
Trade (Wholesale and Retail),Health Foods,200H,Trade (Wholesale and Retail): Health Foods,TRUE - FIXED ,Miscellaneous Food Stores,5490,5149,http://www.osha.gov/pls/imis/sic_manual.display?id=302&tab=description,,
Trade (Wholesale and Retail),Meat/Meat Products,200I,Trade (Wholesale and Retail): Meat/Meat Products,FALSE,Meats And Meat Products,5147,,,,
Trade (Wholesale and Retail),Misc. Food Trade,200J,Trade (Wholesale and Retail): Misc. Food Trade,TRUE - FIXED ,Grocery Stores,5410,5411,http://www.osha.gov/pls/imis/sic_manual.display?id=19&tab=description,,
Trade (Wholesale and Retail),Poultry/Poultry Products,200K,Trade (Wholesale and Retail): Poultry/Poultry Products,FALSE,Poultry And Poultry Products,5144,,,,
Trade (Wholesale and Retail),Produce,200L,Trade (Wholesale and Retail): Produce,TRUE - FIXED ,Fruit And Vegetable Markets,5430,5431,http://www.osha.gov/pls/imis/sic_manual.display?id=21&tab=description,,
Trade (Wholesale and Retail),Alcohol Distribution,200M,Trade (Wholesale and Retail): Alcohol Distribution,TRUE - FIXED ,Liquor Stores,5920,5921,http://www.osha.gov/pls/imis/sic_manual.display?id=47&tab=description,,
Trade (Wholesale and Retail),Wholesale (Durable Goods),210,Trade (Wholesale and Retail): Wholesale (Durable Goods),FALSE,"Durable Goods, Not Elsewhere Classified",5099,,,,
Trade (Wholesale and Retail),Building Materials,210A,Trade (Wholesale and Retail): Building Materials,TRUE - FIXED ,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",5200,5211,http://www.osha.gov/pls/imis/sic_manual.display?id=13&tab=description,5271 - mobile home dealers,
Trade (Wholesale and Retail),Industrial Supplies,210B,Trade (Wholesale and Retail): Industrial Supplies,FALSE,Industrial Supplies,5085,,,,
Trade (Wholesale and Retail),Lumber and Construction Materials,210C,Trade (Wholesale and Retail): Lumber and Construction Materials,TRUE - FIXED ,Lumber And Other Construction Materials,5030,5251,http://www.osha.gov/pls/imis/sic_manual.display?id=245&tab=description,,
Trade (Wholesale and Retail),Nursery Products and related,210,Trade (Wholesale and Retail): Nursery Products and related,TRUE - FIXED ,"Retail Nurseries, Lawn And Garden Supply Stores",5260,5261,http://www.osha.gov/pls/imis/sic_manual.display?id=15&tab=description,,
Trade (Wholesale and Retail),Paper Products and related,210E,Trade (Wholesale and Retail): Paper Products and related,TRUE - FIXED ,Paper And Allied Products,2600,2621,http://www.osha.gov/pls/imis/sicsearch.html?p_sic=&p_search=Paper+Products,,
Trade (Wholesale and Retail),Special Equipment / Machine Supply,210,Trade (Wholesale and Retail): Special Equipment / Machine Supply,TRUE - FIXED ,"Machinery, Equipment, And Supplies",5080,5084,http://www.osha.gov/pls/imis/sic_manual.display?id=987&tab=description,,
Trade (Wholesale and Retail),Software,210G,Trade (Wholesale and Retail): Software,FALSE,Computer And Computer Software Stores,5734,,,,
Trade (Wholesale and Retail),Misc. Wholesale Trade,210H,Trade (Wholesale and Retail): Misc. Wholesale Trade,TRUE - FIXED ,Wholesale Trade,0,7389,http://www.osha.gov/pls/imis/sic_manual.display?id=1013&tab=description,,
Trade (Wholesale and Retail),Retail (Building Materials / Garden Supplies),220,Trade (Wholesale and Retail): Retail (Building Materials / Garden Supplies),TRUE - FIXED ,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",5200,5211,http://www.osha.gov/pls/imis/sic_manual.display?id=13&tab=description,5271 - mobile home dealers,
Trade (Wholesale and Retail),Hardware/Building Materials except lumber,220A,Trade (Wholesale and Retail): Hardware/Building Materials except lumber,TRUE - FIXED ,Hardware Stores,5250,5251,,,
Trade (Wholesale and Retail),Lumberyard,220B,Trade (Wholesale and Retail): Lumberyard,TRUE - FIXED ,Lumber And Other Building Materials Dealers,5210,5211,,,
Trade (Wholesale and Retail),Air Conditionsin / Heating / Plumbing / Electrical,220C,Trade (Wholesale and Retail): Air Conditionsin / Heating / Plumbing / Electrical,TRUE - FIXED ,"Plumbing, Heating and Air-conditioning",1710,1711,,,
Trade (Wholesale and Retail),Paint / Glass / Wallpaper,200,Trade (Wholesale and Retail): Paint / Glass / Wallpaper,TRUE - FIXED ,"Paint, Glass, And Wallpaper Stores",5230,5231,,,
Trade (Wholesale and Retail),Solar Equipment and Supply,220E,Trade (Wholesale and Retail): Solar Equipment and Supply,TRUE - FIXED ,"Plumbing, Heating and Air-conditioning",1710,1711,,,
Trade (Wholesale and Retail),Nursery - Flower and Stock,220,Trade (Wholesale and Retail): Nursery - Flower and Stock,FALSE,"Nursery Stock, and Florists' Supplies",5193,,,,
Trade (Wholesale and Retail),Nursery - Garden and Supply,220G,Trade (Wholesale and Retail): Nursery - Garden and Supply,FALSE,"Flowers, Nursery Stock, And Florists' Supplies",5193,,,,
Trade (Wholesale and Retail),Retail (General Merchandise),230,Trade (Wholesale and Retail): Retail (General Merchandise),TRUE - FIXED ,Retail Trade,0,5999,http://www.osha.gov/pls/imis/sic_manual.display?id=257&tab=description,,
Trade (Wholesale and Retail),Department Store,230A,Trade (Wholesale and Retail): Department Store,TRUE - FIXED ,Department Stores,5310,5311,,,
Trade (Wholesale and Retail),Variety Store,230B,Trade (Wholesale and Retail): Variety Store,TRUE - FIXED ,Variety Stores,5330,5331,,,
Trade (Wholesale and Retail),Variety / Drug Store,230C,Trade (Wholesale and Retail): Variety / Drug Store,TRUE - FIXED ,Drug Stores And Proprietary Stores,5910,5912,http://www.osha.gov/pls/imis/sic_manual.display?id=46&tab=description,,
Trade (Wholesale and Retail),Retail (Food and Beverage Stores),240,Trade (Wholesale and Retail): Retail (Food and Beverage Stores),TRUE - FIXED ,Grocery Stores,5410,5411,http://www.osha.gov/pls/imis/sic_manual.display?id=19&tab=description,,
Trade (Wholesale and Retail),Grovery and Related Retail,240A,Trade (Wholesale and Retail): Grovery and Related Retail,TRUE - FIXED ,Groceries And Related Products,5140,5499,http://www.osha.gov/pls/imis/sic_manual.display?id=25&tab=description,5141,http://www.osha.gov/pls/imis/sic_manual.display?id=699&tab=description
Trade (Wholesale and Retail),Convenience  / Liquor Store,240B,Trade (Wholesale and Retail): Convenience / Liquor Store,TRUE - FIXED ,Liquor Stores,5920,5921,http://www.osha.gov/pls/imis/sic_manual.display?id=47&tab=description,,
Trade (Wholesale and Retail),Seafood/Fishmarket,240C,Trade (Wholesale and Retail): Seafood/Fishmarket,TRUE - FIXED ,"Meat And Fish (seafood) Markets, Including Freezer Provisioners",5420,5421,http://www.osha.gov/pls/imis/sic_manual.display?id=20&tab=description,,
Trade (Wholesale and Retail),Butcher Shop,240,Trade (Wholesale and Retail): Butcher Shop,TRUE - FIXED ,"Meat and Fish (Seafood) Markets, Including Freezer Provisioners",5420,5421,http://www.osha.gov/pls/imis/sic_manual.display?id=20&tab=description,,
Trade (Wholesale and Retail),Health Foods,240E,Trade (Wholesale and Retail): Health Foods,TRUE - FIXED ,Miscellaneous Food Stores,5490,5499,http://www.osha.gov/pls/imis/sic_manual.display?id=25&tab=description,,
Trade (Wholesale and Retail),Dairy Products,240,Trade (Wholesale and Retail): Dairy Products,FALSE,Dairy Products,2020,group code - this one is difficult ,,,
Trade (Wholesale and Retail),Produce,240G,Trade (Wholesale and Retail): Produce,TRUE - FIXED ,Fruit And Vegetable Markets,5430,5431,,,
Trade (Wholesale and Retail),Misc/ Food Trade,240H,Trade (Wholesale and Retail): Misc/ Food Trade,TRUE - FIXED ,Food Stores,5400,5411,http://www.osha.gov/pls/imis/sic_manual.display?id=19&tab=description,,
Trade (Wholesale and Retail),Retail (Apparel and Accessory Stores),250,Trade (Wholesale and Retail): Retail (Apparel and Accessory Stores),FALSE,Apparel And Accessory Stores,5600,group code,,,
Trade (Wholesale and Retail),Clothing and Related Retail,250A,Trade (Wholesale and Retail): Clothing and Related Retail,TRUE - FIXED ,Family Clothing Stores,5650,5651,,,
Trade (Wholesale and Retail),Shoe Store,250B,Trade (Wholesale and Retail): Shoe Store,TRUE - FIXED ,Shoe Stores,5660,5661,,,
Trade (Wholesale and Retail),Jewelry Store,250C,Trade (Wholesale and Retail): Jewelry Store,FALSE,Jewelry Stores,5944,,,,
Trade (Wholesale and Retail),Fabric and Related,250,Trade (Wholesale and Retail): Fabric and Related,FALSE,"Textile Goods, Not Elsewhere Classified",2299,,,,
Trade (Wholesale and Retail),Leather Goods,250E,Trade (Wholesale and Retail): Leather Goods,TRUE - FIXED ,"Leather Goods, Not Elsewhere Classified",3190,3199,http://www.osha.gov/pls/imis/sic_manual.display?id=656&tab=description,,
Trade (Wholesale and Retail),Retail (Motor Vehicle Dealers and Supply),260,Trade (Wholesale and Retail): Retail (Motor Vehicle Dealers and Supply),TRUE - FIXED ,"Automotive Dealers, Not Elsewhere Classified",5590,5599,http://www.osha.gov/pls/imis/sic_manual.display?id=33&tab=description,,
Trade (Wholesale and Retail),New Auto,260A,Trade (Wholesale and Retail): New Auto,TRUE - FIXED ,Motor Vehicle Dealers (new And Used),5510,5511,,,
Trade (Wholesale and Retail),Used Auto,260B,Trade (Wholesale and Retail): Used Auto,TRUE - FIXED ,Motor Vehicle Dealers (used Only),5520,5521,,,
Trade (Wholesale and Retail),Auto Supply Store,260C,Trade (Wholesale and Retail): Auto Supply Store,TRUE - FIXED ,Auto And Home Supply Stores,5530,5531,,,
Trade (Wholesale and Retail),Mortorcycle / Scooter and Supply,260,Trade (Wholesale and Retail): Mortorcycle / Scooter and Supply,TRUE - FIXED ,"Motorcycles, Bicycles, And Parts",3750,5571,http://www.osha.gov/pls/imis/sic_manual.display?id=32&tab=description,,
Trade (Wholesale and Retail),Recreation Vehicles,206E,Trade (Wholesale and Retail): Recreation Vehicles,TRUE - FIXED ,Recreational Vehicle Dealers,5560,5561,,,
Trade (Wholesale and Retail),Retail (Home Furnishings),270,Trade (Wholesale and Retail): Retail (Home Furnishings),TRUE - FIXED ,Furniture And Homefurnishings,5020,5021,,,
Trade (Wholesale and Retail),Appliance,270A,Trade (Wholesale and Retail): Appliance,TRUE - FIXED ,Household Appliance Stores,5720,5722,http://www.osha.gov/pls/imis/sic_manual.display?id=39&tab=description,,
Trade (Wholesale and Retail),Antiques,270B,Trade (Wholesale and Retail): Antiques,TRUE - FIXED,Home Furniture And Furnishings Stores,5710,5932,http://www.osha.gov/pls/imis/sic_manual.display?id=48&tab=description,,
Trade (Wholesale and Retail),Furniture and Home Furnishings ect.,270C,Trade (Wholesale and Retail): Furniture and Home Furnishings ect.,FALSE,Home Furniture And Furnishings Stores,5710,5712,http://www.osha.gov/pls/imis/sic_manual.display?id=35&tab=description,,
