Industry,Subtype,Code,Industry + Subtype,"Recheck (FALSE means its passed the recheck, TRUE means, find a new code, TRUE - FIXED means its done and see Column H for the new code, NULL for a residential / non industrious use",SIC Industry Name,SIC Code,"Alternate or better code sourced from http://www.osha.gov Notice that numbers that end in 0 typically are  Group, while those that end in ""1"" are the definition we are looking for",Source Citation ,,
Offices,"Insurance Carriers, Agents, Brokers, Services",420E,"Offices: Insurance Carriers, Agents, Brokers, Services",TRUE - FIXED,"Insurance Agents, Brokers, And Service",6400,6411,http://www.osha.gov/pls/imis/sic_manual.display?id=261&tab=description,,
Public Facilities (Community and Institutional),Church/ Religious Purposes,500,Public Facilities (Community and Institutional): Church/ Religious Purposes,TRUE - FIXED ,Religious Organizations,8660,8661,http://www.osha.gov/pls/imis/sic_manual.display?id=219&tab=description,,
Public Facilities (Community and Institutional),Educational (includes public/private),510,Public Facilities (Community and Institutional): Educational (includes public/private),TRUE - FIXED,Educational Services,8200,group code 82,,,
Public Facilities (Community and Institutional),Preschool/ Childcare,510A,Public Facilities (Community and Institutional): Preschool/ Childcare,TRUE - FIXED,Child Day Care Services,8350,8211,http://www.osha.gov/pls/imis/sic_manual.display?id=204&tab=description,,
Public Facilities (Community and Institutional),Elementary School,510B,Public Facilities (Community and Institutional): Elementary School,TRUE - FIXED,Elementary And Secondary Schools,8210,8211,http://www.osha.gov/pls/imis/sic_manual.display?id=204&tab=description,,
Public Facilities (Community and Institutional),r. High / Middle School,510C,Public Facilities (Community and Institutional): Jr. High / Middle School,TRUE - FIXED,Elementary And Secondary Schools,8210,8211,http://www.osha.gov/pls/imis/sic_manual.display?id=204&tab=description,,
Public Facilities (Community and Institutional),High Shool,510,Public Facilities (Community and Institutional): High School,TRUE - FIXED,Elementary And Secondary Schools,8210,8211,http://www.osha.gov/pls/imis/sic_manual.display?id=204&tab=description,,
Public Facilities (Community and Institutional),College / University,510E,Public Facilities (Community and Institutional): College / University,FALSE,"Colleges, Universities, And Professional Schools",8221,,,,
Public Facilities (Community and Institutional),Professional/ Trade School,510,Public Facilities (Community and Institutional): Professional/ Trade School,TRUE - FIXED,Business and Technical Schools,8221,8222,http://www.osha.gov/pls/imis/sic_manual.display?id=206&tab=description,,
Public Facilities (Community and Institutional),Health Care,520,Public Facilities (Community and Institutional): Health Care,FALSE,"Health And Allied Services, Not Elsewhere Classified",8099,,,,
Public Facilities (Community and Institutional),Hospital/ Clinic,520A,Public Facilities (Community and Institutional): Hospital/ Clinic,TRUE - FIXED,Hospitals,8060,8062,http://www.osha.gov/pls/imis/sic_manual.display?id=197&tab=description,,
Public Facilities (Community and Institutional),Government and Public Agencies,530,Public Facilities (Community and Institutional): Government and Public Agencies,TRUE - FIXED,"General Government, Not Elsewhere Classified",9190,9131,http://www.osha.gov/pls/imis/sic_manual.display?id=235&tab=description,,
Public Facilities (Community and Institutional),Federal (includes PostOffice),530A,Public Facilities (Community and Institutional): Federal (includes PostOffice),TRUE - FIXED,"General Government, Not Elsewhere Classified",,9199,http://www.osha.gov/pls/imis/sicsearch.html?p_sic=&p_search=Government+,,
Public Facilities (Community and Institutional),State,530B,Public Facilities (Community and Institutional): State,TRUE - FIXED,"General Government, Not Elsewhere Classified",,9199,http://www.osha.gov/pls/imis/sicsearch.html?p_sic=&p_search=Government+,,
Public Facilities (Community and Institutional),County,530C,Public Facilities (Community and Institutional): County,TRUE - FIXED,"General Government, Not Elsewhere Classified",,9199,http://www.osha.gov/pls/imis/sicsearch.html?p_sic=&p_search=Government+,,
Public Facilities (Community and Institutional),City (does not inlude libraries or the wharf),530,Public Facilities (Community and Institutional): City (does not inlude libraries or the wharf),TRUE - FIXED,"General Government, Not Elsewhere Classified",,9199,http://www.osha.gov/pls/imis/sicsearch.html?p_sic=&p_search=Government+,,
Public Facilities (Community and Institutional),Utility and Resources,540,Public Facilities (Community and Institutional): Utility and Resources,TRUE - FIXED,"Combination Electric And Gas, And Other Utility Services",4930,4931,http://www.osha.gov/pls/imis/sic_manual.display?id=950&tab=description,,
Public Facilities (Community and Institutional),Gas/ Electric,540A,Public Facilities (Community and Institutional): Gas/ Electric,TRUE - FIXED,"Electric, Gas, And Sanitary Services",4900,4931,http://www.osha.gov/pls/imis/sic_manual.display?id=950&tab=description,,
Public Facilities (Community and Institutional),Water,540B,Public Facilities (Community and Institutional): Water,TRUE - FIXED,Water Supply,4940,4941,http://www.osha.gov/pls/imis/sic_manual.display?id=953&tab=description,,
Public Facilities (Community and Institutional),Sanitation,540C,Public Facilities (Community and Institutional): Sanitation,TRUE - FIXED,Sewerage Systems ,,4952,http://www.osha.gov/pls/imis/sic_manual.display?id=954&tab=description,,
Public Facilities (Community and Institutional),"Flood Cotnrol, Erosion",540,"Public Facilities (Community and Institutional): Flood Cotnrol, Erosion",TRUE - FIXED,"General Government, Not Elsewhere Classified",9190,9131,http://www.osha.gov/pls/imis/sic_manual.display?id=235&tab=description,,
Public Facilities (Community and Institutional),Communication and Information Services,550,Public Facilities (Community and Institutional): Communication and Information Services,TRUE - FIXED,"Communications Services, Not Elsewhere Classified",4890,4899,http://www.osha.gov/pls/imis/sic_manual.display?id=944&tab=description,,
Public Facilities (Community and Institutional),Radio/ TV,550A,Public Facilities (Community and Institutional): Radio/ TV,TRUE - FIXED ,Radio And Television Broadcasting Stations,4830,4833,http://www.osha.gov/pls/imis/sic_manual.display?id=942&tab=description,,
Public Facilities (Community and Institutional),Phone,550B,Public Facilities (Community and Institutional): Phone,TRUE - FIXED ,Telephone Communications,4810,4813,http://www.osha.gov/pls/imis/sic_manual.display?id=939&tab=description,,
Public Facilities (Community and Institutional),Telegraph,550C,Public Facilities (Community and Institutional): Telegraph,TRUE - FIXED,Telegraph And Other Message Communications,4820,4822,http://www.osha.gov/pls/imis/sic_manual.display?id=940&tab=description,,
Public Facilities (Community and Institutional),"Newspaper publication, print, write",550,"Public Facilities (Community and Institutional): Newspaper publication, print, write",TRUE - FIXED ,"Newspapers: Publishing, Or Publishing And Printing",2710,2711,http://www.osha.gov/pls/imis/sic_manual.display?id=585&tab=description,,
Public Facilities (Community and Institutional),"Magazine publication, print, write",550E,"Public Facilities (Community and Institutional): Magazine publication, print, write",TRUE - FIXED,"Periodicals: Publishing, Or Publishing And Printing",2720,2721,http://www.osha.gov/pls/imis/sic_manual.display?id=586&tab=description,,
Public Facilities (Community and Institutional),"Books publication, print, write",550,"Public Facilities (Community and Institutional): Books publication, print, write",TRUE - FIXED,"Commercial Printing, not Otherwise Classified",2700,2759,http://www.osha.gov/pls/imis/sic_manual.display?id=592&tab=description,,
Public Facilities (Community and Institutional),Libraries,550G,Public Facilities (Community and Institutional): Libraries,TRUE - FIXED ,Libraries,8230,8231,http://www.osha.gov/pls/imis/sic_manual.display?id=207&tab=description,,
Public Facilities (Community and Institutional),Transportation and Marine Facilities,560,Public Facilities (Community and Institutional): Transportation and Marine Facilities,TRUE - FIXED ,Services Incidental To Water Transportation,,4493,http://www.osha.gov/pls/imis/sic_manual.display?id=921&tab=description,,
Public Facilities (Community and Institutional),Railroad,560A,Public Facilities (Community and Institutional): Railroad,TRUE - FIXED ,Railroads,4010,4011,http://www.osha.gov/pls/imis/sic_manual.display?id=892&tab=description,,
Public Facilities (Community and Institutional),"Local/Interurban Passenger Transit (bus, cab)",560B,"Public Facilities (Community and Institutional): Local/Interurban Passenger Transit (bus, cab)",TRUE - FIXED,Local And Suburban Passenger Transportation,4110,4111,http://www.osha.gov/pls/imis/sic_manual.display?id=894&tab=description,,
Public Facilities (Community and Institutional),"Motor Freight, Trucking, Warehousing",560C,"Public Facilities (Community and Institutional): Motor Freight, Trucking, Warehousing",TRUE - FIXED,Local Trucking With Storage,4200,4214,http://www.osha.gov/pls/imis/sic_manual.display?id=904&tab=description,,
Public Facilities (Community and Institutional),Misc. Transportation Services,560,Public Facilities (Community and Institutional): Misc. Transportation Services,TRUE - FIXED,"Special Warehousing and Storage, Not Elsewhere Classified",4780,4226,http://www.osha.gov/pls/imis/sic_manual.display?id=909&tab=description,,
Public Facilities (Community and Institutional),"Marine Facilites and Related (includes Harbor, fishing, the Wharf)",560E,"Public Facilities (Community and Institutional): Marine Facilites and Related (includes Harbor, fishing, the Wharf)",TRUE - FIXED , Services Incidental To Water Transportation,,4493,http://www.osha.gov/pls/imis/sic_manual.display?id=921&tab=description,,
Public Facilities (Community and Institutional),"Community Organizations, Associations, Clubs and Meeting Halls (that are not just business offices)",570,"Public Facilities (Community and Institutional): Community Organizations, Associations, Clubs and Meeting Halls (that are not just business offices)",TRUE - FIXED ,Membership Organizations,8600,8641,http://www.osha.gov/pls/imis/sic_manual.display?id=287&tab=description,,
Public Facilities (Community and Institutional),"Organizations, Association, Cluibs and Lodgehalls (includes Veterans, Unions, Elks, Boys Cluib, YWCA)",570A,"Public Facilities (Community and Institutional): Organizations, Association, Cluibs and Lodgehalls (includes Veterans, Unions, Elks, Boys Cluib, YWCA)",TRUE - FIXED ,Membership Organizations,8600,8641,http://www.osha.gov/pls/imis/sic_manual.display?id=287&tab=description,,
Public Facilities (Community and Institutional),Conference / Community Centers,570B,Public Facilities (Community and Institutional): Conference / Community Centers,TRUE - FIXED ,"Business Services, Not Elsewhere Classified",7389,7389,http://www.osha.gov/pls/imis/sic_manual.display?id=1013&tab=description,,
Public Facilities (Community and Institutional),Auditorium,570C,Public Facilities (Community and Institutional): Auditorium,TRUE - FIXED ,Theatrical Producers (Except Motion Picture) and Miscellaneous Theatrical Services,7922,7922,http://www.osha.gov/pls/imis/sic_manual.display?id=178&tab=description,,
Culture and Entertainment,Museums and Art Galleries,600,Culture and Entertainment: Museums and Art Galleries,TRUE - FIXED ,Museums And Art Galleries,8410,8412,http://www.osha.gov/pls/imis/sic_manual.display?id=215&tab=description,,
Culture and Entertainment,Acting/ Art/ Music/ Dance Facilites/ Studios/ Schools,610,Culture and Entertainment: Acting/ Art/ Music/ Dance Facilites/ Studios/ Schools,FALSE,"Bands, Orchestras, Actors, And Other Entertainers And Entertainme",7929,,,,
Culture and Entertainment,Theater,620,Culture and Entertainment: Theater,TRUE - FIXED,"Theatrical Producers (except Motion Picture), Bands, Orchestras, A",7920,7922,http://www.osha.gov/pls/imis/sic_manual.display?id=178&tab=description,,
Culture and Entertainment,Movie Theater,620A,Culture and Entertainment: Movie Theater,TRUE - FIXED,Motion Picture Theaters,7830,7832,http://www.osha.gov/pls/imis/sic_manual.display?id=175&tab=description,,
Culture and Entertainment,"Performing Arts, Theater",620B,"Culture and Entertainment: Performing Arts, Theater",TRUE - FIXED,"Theatrical Producers (except Motion Picture), Bands, Orchestras, A",7920,7922,http://www.osha.gov/pls/imis/sic_manual.display?id=178&tab=description,,
Culture and Entertainment,"Night Clubs, Music Halls",630,"Culture and Entertainment: Night Clibs, Music Halls",TRUE - FIXED,Drinking Places (alcoholic Beverages),5813,5813,http://www.osha.gov/pls/imis/sic_manual.display?id=45&tab=description,,
Culture and Entertainment,Mission Adobe,640,Culture and Entertainment: Mission Adobe,,,,,,,
Culture and Entertainment,Video Rental,650,Culture and Entertainment: Video Rental,TRUE - FIXED ,Video Tape Rental,7840,7841,http://www.osha.gov/pls/imis/sic_manual.display?id=177&tab=description,,
Culture and Entertainment,"Undeveloped Parkland, Open Space / Greenbelt",700,"Culture and Entertainment: Undeveloped Parkland, Open Space / Greenbelt",FALSE,"Amusement And Recreation Services, Not Elsewhere Classified",7999,,,,
Culture and Entertainment,"Developed Parklind, Beaches",710,"Culture and Entertainment: Developed Parkland, Beaches",FALSE,"Amusement And Recreation Services, Not Elsewhere Classified",7999,,,,
Culture and Entertainment,Sports and Recreation Facilities,720,Culture and Entertainment: Sports and Recreation Facilities,FALSE,Membership Sports and Recreation Clubs,7997,,,,
Culture and Entertainment,Bowling,720A,Culture and Entertainment: Bowling,FALSE,"Amusement And Recreation Services, Not Elsewhere Classified",7999,,,,
Culture and Entertainment,Billiards / Pool Hall,720B,Culture and Entertainment: Billiards / Pool Hall,TRUE,"Amusement And Recreation Services, Not Elsewhere Classified",7999,,,,
Culture and Entertainment,Martial Arts,720C,Culture and Entertainment: Martial Arts,FALSE,Membership Sports And Recreation Clubs,7997,,,,
Culture and Entertainment,Health Clubs / Gyms,720,Culture and Entertainment: Health Clubs / Gyms,FALSE,Physical Fitness Facilities,7991,,,,
Culture and Entertainment,Misc. sports and recreation facilities,720E,Culture and Entertainment: Misc. sports and recreation facilities,FALSE,Membership Sports and Recreation Clubs,7997,,,,
Culture and Entertainment,"Amusement Parks, Arcafes and related",720,"Culture and Entertainment: Amusement Parks, cafes and related",FALSE,Amusement Parks,7996,,http://www.osha.gov/pls/imis/sic_manual.display?id=186&tab=description,,
Culture and Entertainment,Golf Courses,720G,Culture and Entertainment: Golf Courses,FALSE,Public Golf Courses,7992,,,,
Residential,Single Family Residential,800,Residential: Single Family Residential,NULL,,,,,,
Residential,Single Family Home,800A,Residential: Single Family Home,NULL,,,,,,
Residential,Accessory Dwelling Unit,800B,Residential: Accessory Dwelling Unit,NULL,,,,,,
Residential,One Unit Apartment,800C,Residential: One Unit Apartment,NULL,,,,,,
Residential,Duplex,810,Residential: Duplex,NULL,,,,,,
Residential,2 unit multi-family,810A,Residential: 2 unit multi-family,NULL,,,,,,
Residential,2 unit condo,810B,Residential: 2 unit condo,NULL,,,,,,
Residential,Triplex,820,Residential: Triplex,NULL,,,,,,
Residential,2 unit multi-family,820A,Residential: 2 unit multi-family,NULL,,,,,,
Residential,3 unit condo,820B,Residential: 3 unit condo,NULL,,,,,,
Residential,Multi-family (4-9 units),830,Residential: Multi-family (4-9 units),NULL,,,,,,
Residential,4 unit multi-family,830A,Residential: 4 unit multi-family,NULL,,,,,,
Residential,4 unit condo,830B,Residential: 4 unit condo,NULL,,,,,,
Residential,5-9 unit multi-family,830C,Residential: 5-9 unit multi-family,NULL,,,,,,
Residential,5-9 unit condo,830,Residential: 5-9 unit condo,NULL,,,,,,
Residential,Multi-family (10+ units),840,Residential: Multi-family (10+ units),NULL,,,,,,
Residential,10+ units Multi-family,840A,Residential: 10+ units Multi-family,NULL,,,,,,
Residential,10+ units condo,840B,Residential: 10+ units condo,NULL,,,,,,
Residential,Group Quarters Facilites,850,Residential: Group Quarters Facilites,NULL,,,,,,
Residential,Residential Halls or Dorms,850A,Residential: Residential Halls or Dorms,NULL,,,,,,
Residential,Retirement Homes,850B,Residential: Retirement Homes,NULL,,,,,,
Residential,Religious Quarters,850C,Residential: Religious Quarters,NULL,,,,,,
Residential,Military Quarters,850,Residential: Military Quarters,NULL,,,,,,
Residential,Residential Care Facilities (includes Rest Homes / Convalescent Homes),850E,Residential: Residential Care Facilities (includes Rest Homes / Convalescent Homes),FALSE,Skilled Nursing Facilities,8051,,,,
Residential,Single Room Occupancy (SRO) Housing,860,Residential: Single Room Occupancy (SRO) Housing,NULL,,,,,,
Residential,Affordable Lower Inc. (65% of median),860A,Residential: Affordable Lower Inc. (65% of median),NULL,,,,,,
Residential,Affordable Low Inc. (80% of median),860B,Residential: Affordable Low Inc. (80% of median),NULL,,,,,,
Residential,Other/Market Rate,860C,Residential: Other/Market Rate,NULL,,,,,,
Residential,Senior,860,Residential: Senior,NULL,,,,,,
Residential,Undetermined Mix,860E,Residential: Undetermined Mix,NULL,,,,,,
Vacant Lands and Parking,Mobile Home/ Trailer Parks,870,Vacant Lands and Parking: Mobile Home/ Trailer Parks,FALSE,Recreational Vehicle Parks And Campsites,7033,,,,
Vacant Lands and Parking,Vacant Parcels,900,Vacant Lands and Parking: Vacant Parcels,FALSE,"Amusement And Recreation Services, Not Elsewhere Classified",7999,,,,
Vacant Lands and Parking,Underutilized Land,910,Vacant Lands and Parking: Underutilized Land,FALSE,"Amusement And Recreation Services, Not Elsewhere Classified",7999,,,,
Vacant Lands and Parking,Supplemental Residential Use,910A,Vacant Lands and Parking: Supplemental Residential Use,NULL,,,,,,
Vacant Lands and Parking,Common Areas -- Condos,920,Vacant Lands and Parking: Common Areas -- Condos,NULL,,,,,,
Vacant Lands and Parking,Private Parking,930,Vacant Lands and Parking: Private Parking,FALSE,"Amusement And Recreation Services, Not Elsewhere Classified",7999,7521,,,
Vacant Lands and Parking,Reserved,930A,Vacant Lands and Parking: Reserved,FALSE,"Amusement And Recreation Services, Not Elsewhere Classified",7999,,,,
Vacant Lands and Parking,Public Use,930B,Vacant Lands and Parking: Public Use,FALSE,"Amusement And Recreation Services, Not Elsewhere Classified",7999,,,,
Vacant Lands and Parking,Private Parking (Unknown Use),930C,Vacant Lands and Parking: Private Parking (Unknown Use),TRUE - FIXED ,Automobile Parking,7520,7521,,,
Vacant Lands and Parking,Public Parking Off-Street Lots and Structures),940,Vacant Lands and Parking: Public Parking Off-Street Lots and Structures),TRUE - FIXED,Automobile Parking,7520,7521,,,
Vacant Lands and Parking,Public On-Street Parking,950,Vacant Lands and Parking: Public On-Street Parking,TRUE - FIXED,Automobile Parking,7520,7521,,,
Vacant Lands and Parking,Metererd,950A,Vacant Lands and Parking: Metererd,TRUE - FIXED,Automobile Parking,7520,7521,,,
Vacant Lands and Parking,Permit,950B,Vacant Lands and Parking: Permit,TRUE - FIXED,Automobile Parking,7520,7521,,,
Vacant Lands and Parking,Nonmetered,950C,Vacant Lands and Parking: Nonmetered,TRUE - FIXED,Automobile Parking,7520,7521,,,
